hamstrings_l_len,bifemsh_l_len,glut_max_l_len,iliopsoas_l_len,rect_fem_l_len,vasti_l_len,gastroc_l_len,soleus_l_len,tib_ant_l_len,hamstrings_r_len,bifemsh_r_len,glut_max_r_len,iliopsoas_r_len,rect_fem_r_len,vasti_r_len,gastroc_r_len,soleus_r_len,tib_ant_r_len,hamstrings_l_dlen,bifemsh_l_dlen,glut_max_l_dlen,iliopsoas_l_dlen,rect_fem_l_dlen,vasti_l_dlen,gastroc_l_dlen,soleus_l_dlen,tib_ant_l_dlen,hamstrings_r_dlen,bifemsh_r_dlen,glut_max_r_dlen,iliopsoas_r_dlen,rect_fem_r_dlen,vasti_r_dlen,gastroc_r_dlen,soleus_r_dlen,tib_ant_r_dlen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0627513303527,0.138331753216,0.153779336261,0.135575779979,0.0558090784756,0.067541304164,0.0584645292727,0.047302842572,0.0649327587542,0.0627513303527,0.138331753216,0.153779336261,0.135575779979,0.0558090784756,0.067541304164,0.0584645292727,0.047302842572,0.0649327587542,0.00311053765064,0.00204162174144,-0.00372496268407,0.00450695509625,-0.00407403221579,-0.0103491004465,0.00516401524905,0.00401049031083,0.00363627291588,0.00311053765064,0.00204162174144,-0.00372496268407,0.00450695509625,-0.00407403221579,-0.0103491004465,0.00516401524905,0.00401049031083,0.00363627291588
0.0627762928769,0.138477602117,0.153455563964,0.13577180731,0.0556494491493,0.0640169604138,0.058478789828,0.0472950332906,0.0654692194328,0.0627837665236,0.138331998216,0.153791697059,0.135589066849,0.0557987895922,0.0675473121391,0.0585243821865,0.0473552875809,0.0649482393371,0.00249625242295,0.0145848901608,-0.0323772297296,0.0196027330935,-0.0159629326299,-0.352434375021,0.00142605553695,-0.000780928135683,0.053646067856,0.00324361708981,2.4500032883e-05,0.00123607974951,0.00132868699388,-0.00102888833793,0.000600797512193,0.00598529138209,0.0052445008938,0.00154805828889
0.0627466093914,0.138771243642,0.15265338135,0.136395264738,0.0546843849791,0.062565159189,0.0583443785876,0.0470391523311,0.0663050934118,0.0628193023378,0.138321534482,0.153830778187,0.135579078677,0.0558163013863,0.0676220625512,0.0585844598927,0.047414808001,0.0649520655752,-0.00296834855049,0.0293641524444,-0.0802182613524,0.062345742791,-0.0965064170178,-0.145180122482,-0.0134411240441,-0.0255880959535,0.0835873979018,0.00355358141547,-0.00104637344578,0.00390811279634,-0.000998817203698,0.00175117940545,0.00747504121055,0.00600777062518,0.00595204201067,0.000382623812949
0.0626729385746,0.13883547983,0.152369862212,0.136451147767,0.0540245007041,0.0620494908335,0.0582996666585,0.0469046990707,0.066328894764,0.0628567297984,0.138311764506,0.153870168325,0.135564206777,0.0558567531142,0.0677092560124,0.0586387578605,0.0474725929338,0.0649506317737,-0.0073670816818,0.00642361886444,-0.0283519138789,0.00558830288786,-0.0659884275059,-0.0515668355432,-0.00447119290891,-0.0134453260391,0.0023801352186,0.00374274606191,-0.000976997508167,0.00393901387852,-0.0014871900071,0.00404517279505,0.00871934611782,0.00542979677698,0.00577849328438,-0.000143380157612
0.062624429423,0.138820329093,0.152404522988,0.136459432812,0.0538109796989,0.0622032177746,0.0583243918932,0.0468915461343,0.0662130722948,0.0628934267504,0.138307132767,0.15389575882,0.135556166823,0.0559071313611,0.0677694270294,0.0586859394418,0.0475239142771,0.0649484629909,-0.00485091516633,-0.00151507374491,0.00346607764267,0.000828504490313,-0.0213521005179,0.0153726941035,0.00247252346523,-0.00131529363498,-0.0115822469169,0.00366969520012,-0.000463173935294,0.00255904949121,-0.00080399536363,0.00503782468162,0.00601710170088,0.00471815812404,0.00513213432613,-0.000216878273232
